GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GridCapa SWE runner service client SpringBoot starter,com.farao_community.farao.swe.runner.starter,SweMessageHandler,5,55,1,1,1,17,1,4,0,4
GridCapa SWE runner service client SpringBoot starter,com.farao_community.farao.swe.runner.starter,SweClient,0,74,0,0,0,17,0,4,0,4
GridCapa SWE runner service client SpringBoot starter,com.farao_community.farao.swe.runner.starter,SweClientProperties.BindingConfiguration,0,35,0,0,0,13,0,9,0,9
GridCapa SWE runner service client SpringBoot starter,com.farao_community.farao.swe.runner.starter,SweClientProperties,0,10,0,0,0,4,0,3,0,3
GridCapa SWE runner service client SpringBoot starter,com.farao_community.farao.swe.runner.starter,SweClientAutoConfiguration,0,13,0,0,0,4,0,2,0,2
