GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GridCapa SWE runner API,com.farao_community.farao.swe.api.resource,SweRequest,0,9,0,0,0,4,0,2,0,2
GridCapa SWE runner API,com.farao_community.farao.swe.api.resource,ThreadLauncherResult,43,0,0,0,11,0,7,0,7,0
GridCapa SWE runner API,com.farao_community.farao.swe.api.resource,SweResponse,0,9,0,0,0,4,0,2,0,2
GridCapa SWE runner API,com.farao_community.farao.swe.api.exception,AbstractSweException,2,40,1,3,1,13,1,5,0,4
GridCapa SWE runner API,com.farao_community.farao.swe.api.exception,SweInvalidDataException,0,13,0,0,0,6,0,4,0,4
GridCapa SWE runner API,com.farao_community.farao.swe.api.exception,SweInternalException,0,13,0,0,0,6,0,4,0,4
GridCapa SWE runner API,com.farao_community.farao.swe.api,JsonApiConverter,47,78,0,0,9,19,1,5,1,5
