GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app.services,SweRunner,6,3,0,0,1,1,1,1,1,1
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app.services,InterruptionService,0,33,0,2,0,11,0,5,0,4
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app.services,RequestService,66,112,5,3,12,23,7,4,3,4
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app.configurations,EventsLogger,0,6,0,0,0,2,0,2,0,2
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app.configurations,RequestConfiguration,0,15,0,0,0,4,0,3,0,3
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app.configurations,InterruptConfiguration,0,9,0,0,0,2,0,2,0,2
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app,SweApplication,5,3,0,0,2,1,1,1,1,1
GridCapa SWE runner application,com.farao_community.farao.swe.runner.app.utils,GenericThreadLauncher,37,108,8,10,13,27,5,10,1,5
